Shipment_ID,Order_Date,Delivery_Date,Scheduled_Delivery_Date,Origin_City,Destination_City,Distance_KM,Carrier_ID,Vehicle_Type,Shipment_Weight_KG,Shipment_Volume_M3,Priority_Level,Customer_ID,Freight_Cost,Delivery_Status
SHP-00050,2024-04-25,2024-04-26,2024-04-26,Washington DC,Baltimore,390,CAR-006,Truck,412.06,0.98,Express,CUST-1749,583.58,On-Time
SHP-00051,2024-07-30,2024-08-02,2024-07-31,Baltimore,Minneapolis,669,CAR-002,Semi-Truck,314.67,0.457,Express,CUST-4214,750.61,Delayed
SHP-00052,2023-12-04,2023-12-09,2023-12-07,Dallas,Chicago,1878,CAR-001,Truck,422.59,0.537,Standard,CUST-5216,2041.94,Delayed
SHP-00053,2024-05-15,2024-05-16,2024-05-16,Atlanta,Seattle,1336,CAR-004,Truck,311.09,0.485,Overnight,CUST-3773,2243.66,On-Time
SHP-00054,2023-05-24,2023-05-27,2023-05-27,New York,Miami,2398,CAR-003,Truck,112.72,0.179,Express,CUST-9882,3617.87,On-Time
SHP-00055,2024-10-19,2024-10-20,2024-10-20,Boston,Nashville,1896,CAR-006,Truck,172.42,0.245,Overnight,CUST-1794,2885.69,On-Time
SHP-00056,2023-01-07,2023-01-09,2023-01-08,Houston,Cleveland,702,CAR-003,Semi-Truck,257.16,0.433,Standard,CUST-1149,914.37,Delayed
SHP-00057,2023-08-12,2023-08-13,2023-08-13,Nashville,Philadelphia,386,CAR-008,Truck,252.75,0.475,Standard,CUST-8916,594.8,On-Time
SHP-00058,2024-11-06,2024-11-09,2024-11-09,Los Angeles,Philadelphia,1905,CAR-003,Van,272.02,0.428,Standard,CUST-1194,2107.18,On-Time
SHP-00059,2023-01-18,2023-01-21,2023-01-19,Los Angeles,Atlanta,354,CAR-004,Van,442.18,0.51,Standard,CUST-3937,321.82,Delayed
SHP-00060,2023-04-20,2023-04-21,2023-04-21,Cleveland,Dallas,618,CAR-003,Truck,667.11,0.958,Overnight,CUST-5135,2074.19,On-Time
SHP-00061,2023-12-29,2024-01-01,2024-01-01,Denver,Boston,1973,CAR-005,Truck,605.88,1.321,Standard,CUST-7652,3062.93,On-Time
SHP-00062,2024-04-15,2024-04-16,2024-04-16,Chicago,Washington DC,969,CAR-002,Cargo Plane,427.74,0.466,Standard,CUST-2320,823.89,On-Time
SHP-00063,2024-10-31,2024-11-03,2024-11-01,Dallas,Chicago,1878,CAR-003,Truck,544.24,0.706,Overnight,CUST-8798,5340.58,Delayed
SHP-00064,2023-02-27,2023-03-02,2023-02-28,Boston,Chicago,652,CAR-005,Semi-Truck,684.02,1.677,Express,CUST-6427,1450.0,Delayed
SHP-00065,2024-08-02,2024-08-03,2024-08-03,Detroit,Cleveland,1282,CAR-005,Cargo Plane,794.78,2.346,Overnight,CUST-4764,3988.46,On-Time
SHP-00066,2023-08-05,2023-08-06,2023-08-06,Seattle,Nashville,468,CAR-006,Truck,214.4,0.452,Overnight,CUST-5593,866.01,On-Time
SHP-00067,2024-07-10,2024-07-12,2024-07-12,Chicago,San Francisco,1415,CAR-007,Van,330.69,0.417,Standard,CUST-4394,1484.31,On-Time
SHP-00068,2024-08-24,2024-08-27,2024-08-27,Los Angeles,Boston,1700,CAR-003,Semi-Truck,505.93,1.345,Standard,CUST-2260,2480.72,On-Time
SHP-00069,2023-11-03,2023-11-04,2023-11-04,Cleveland,Washington DC,979,CAR-008,Van,307.58,0.728,Standard,CUST-7375,1630.64,On-Time
SHP-00070,2024-11-24,2024-11-28,2024-11-27,Washington DC,San Francisco,2206,CAR-002,Truck,516.58,0.951,Express,CUST-9204,3248.2,Delayed
SHP-00071,2023-12-21,2023-12-24,2023-12-24,Los Angeles,Dallas,1886,CAR-008,Truck,116.58,0.323,Standard,CUST-6580,2448.81,On-Time
SHP-00072,2024-09-11,2024-09-12,2024-09-12,Denver,San Francisco,750,CAR-002,Cargo Plane,187.01,0.293,Express,CUST-1485,798.4,On-Time
SHP-00073,2024-10-11,2024-10-14,2024-10-14,Atlanta,Dallas,1679,CAR-007,Cargo Plane,238.74,0.342,Standard,CUST-7150,1726.33,On-Time
SHP-00074,2024-03-18,2024-03-21,2024-03-21,Miami,Boston,1959,CAR-008,Truck,81.79,0.218,Standard,CUST-5839,2635.72,On-Time
SHP-00075,2023-09-10,2023-09-15,2023-09-13,Boston,Cleveland,2455,CAR-002,Van,123.85,0.223,Express,CUST-3527,2272.81,Delayed
SHP-00076,2024-02-03,2024-02-08,2024-02-06,San Francisco,Seattle,1915,CAR-008,Van,1496.44,3.725,Standard,CUST-8286,5643.91,Delayed
SHP-00077,2024-01-04,2024-01-07,2024-01-05,Denver,Philadelphia,1157,CAR-005,Van,201.71,0.23,Express,CUST-8353,1676.04,Delayed
SHP-00078,2024-07-24,2024-07-27,2024-07-25,San Francisco,Detroit,884,CAR-007,Truck,642.64,0.952,Standard,CUST-6315,1134.3,Delayed
SHP-00079,2024-01-30,2024-01-31,2024-01-31,Houston,Cleveland,702,CAR-003,Truck,566.74,0.651,Standard,CUST-4977,1025.45,On-Time
SHP-00080,2024-08-08,2024-08-10,2024-08-10,Atlanta,Boston,1457,CAR-005,Truck,267.45,0.422,Standard,CUST-5405,1737.18,On-Time
SHP-00081,2023-11-05,2023-11-06,2023-11-06,Baltimore,Minneapolis,669,CAR-001,Van,810.22,2.081,Standard,CUST-5521,986.42,On-Time
SHP-00082,2024-03-07,2024-03-10,2024-03-10,Atlanta,Chicago,1600,CAR-006,Semi-Truck,371.69,1.0,Standard,CUST-9123,1634.91,On-Time
SHP-00083,2024-08-31,2024-09-04,2024-09-03,Phoenix,Houston,2053,CAR-004,Truck,619.31,1.355,Express,CUST-6443,3001.21,Delayed
SHP-00084,2024-09-27,2024-09-29,2024-09-29,Minneapolis,Denver,1195,CAR-001,Semi-Truck,197.6,0.212,Standard,CUST-8055,1176.19,On-Time
SHP-00085,2024-10-28,2024-10-29,2024-10-29,San Francisco,Atlanta,1315,CAR-007,Van,149.97,0.243,Overnight,CUST-6147,2364.03,On-Time
SHP-00086,2023-07-01,2023-07-02,2023-07-02,Baltimore,New York,425,CAR-002,Cargo Plane,717.7,1.062,Overnight,CUST-4971,959.82,On-Time
SHP-00087,2023-11-30,2023-12-02,2023-12-01,Detroit,Milwaukee,674,CAR-006,Semi-Truck,85.44,0.087,Standard,CUST-9939,509.61,Delayed
SHP-00088,2023-07-04,2023-07-05,2023-07-05,Phoenix,Dallas,1350,CAR-002,Truck,447.74,0.738,Express,CUST-4434,1658.87,On-Time
SHP-00089,2024-03-24,2024-03-27,2024-03-25,Washington DC,Baltimore,390,CAR-008,Semi-Truck,573.83,1.025,Express,CUST-9180,1103.31,Delayed
SHP-00090,2023-05-23,2023-05-26,2023-05-26,Minneapolis,Milwaukee,2339,CAR-003,Van,379.66,0.644,Express,CUST-7932,4703.08,On-Time
SHP-00091,2024-01-22,2024-01-24,2024-01-24,Seattle,Philadelphia,1329,CAR-003,Cargo Plane,687.09,1.692,Standard,CUST-7566,2101.34,On-Time
SHP-00092,2024-07-01,2024-07-05,2024-07-05,Boston,Atlanta,2399,CAR-007,Semi-Truck,882.02,1.946,Standard,CUST-6890,4191.22,On-Time
SHP-00093,2024-12-19,2024-12-22,2024-12-21,Chicago,Los Angeles,1715,CAR-006,Truck,358.5,0.947,Express,CUST-6816,2141.87,Delayed
SHP-00094,2023-06-20,2023-06-21,2023-06-21,Dallas,Detroit,740,CAR-003,Van,303.42,0.554,Express,CUST-7547,1300.29,On-Time
SHP-00095,2023-12-06,2023-12-10,2023-12-07,Boston,Baltimore,1848,CAR-004,Truck,132.43,0.39,Overnight,CUST-4621,2331.62,Delayed
SHP-00096,2024-04-01,2024-04-02,2024-04-02,New York,Houston,840,CAR-004,Truck,1088.64,2.091,Standard,CUST-3469,1038.96,On-Time
SHP-00097,2023-12-20,2023-12-21,2023-12-21,Seattle,Washington DC,1882,CAR-005,Truck,509.29,1.346,Overnight,CUST-2406,4645.46,On-Time
SHP-00098,2023-04-29,2023-05-01,2023-05-01,Los Angeles,Detroit,1958,CAR-004,Semi-Truck,384.81,0.62,Express,CUST-4389,2233.15,On-Time
SHP-00099,2024-06-17,2024-06-18,2024-06-18,Phoenix,Milwaukee,940,CAR-001,Truck,1574.89,1.942,Standard,CUST-8412,1899.11,On-Time
SHP-00100,2023-11-23,2023-11-25,2023-11-25,Philadelphia,Milwaukee,1077,CAR-001,Van,418.11,1.243,Standard,CUST-1370,1201.59,On-Time
SHP-00101,2023-12-18,2023-12-20,2023-12-19,San Francisco,Philadelphia,250,CAR-001,Truck,455.38,0.79,Express,CUST-9454,350.72,Delayed
SHP-00102,2023-06-28,2023-07-02,2023-07-02,Dallas,Phoenix,2437,CAR-001,Truck,171.99,0.232,Standard,CUST-8570,2110.07,On-Time
SHP-00103,2023-08-26,2023-08-29,2023-08-29,Detroit,Washington DC,2268,CAR-005,Truck,312.87,0.556,Express,CUST-8080,3506.6,On-Time
SHP-00104,2024-02-10,2024-02-14,2024-02-14,Houston,Denver,2478,CAR-005,Truck,668.59,1.018,Standard,CUST-8037,3733.91,On-Time
SHP-00105,2024-02-03,2024-02-04,2024-02-04,Milwaukee,Miami,991,CAR-003,Van,883.42,1.678,Standard,CUST-2025,1931.54,On-Time
SHP-00106,2024-08-14,2024-08-18,2024-08-18,Boston,Atlanta,2399,CAR-006,Semi-Truck,208.97,0.475,Standard,CUST-8496,2166.03,On-Time
SHP-00107,2023-04-27,2023-05-01,2023-05-01,Denver,New York,2341,CAR-007,Semi-Truck,756.1,2.268,Standard,CUST-7367,3529.49,On-Time
SHP-00108,2024-09-17,2024-09-21,2024-09-20,Los Angeles,Milwaukee,1546,CAR-001,Van,392.31,0.936,Standard,CUST-8501,1690.99,Delayed
SHP-00109,2024-09-24,2024-09-26,2024-09-26,Seattle,Atlanta,1191,CAR-005,Truck,153.77,0.223,Standard,CUST-2388,1288.15,On-Time
SHP-00110,2024-11-19,2024-11-21,2024-11-21,Denver,Philadelphia,1157,CAR-005,Van,585.32,1.579,Standard,CUST-3999,1623.78,On-Time
SHP-00111,2024-01-18,2024-01-20,2024-01-20,Minneapolis,Los Angeles,1779,CAR-001,Truck,325.28,0.49,Express,CUST-3258,2644.52,On-Time
SHP-00112,2024-08-11,2024-08-12,2024-08-12,Milwaukee,San Francisco,264,CAR-008,Van,720.68,1.714,Standard,CUST-3838,597.64,On-Time
SHP-00113,2024-07-22,2024-07-23,2024-07-23,Los Angeles,Houston,825,CAR-008,Van,711.62,1.943,Standard,CUST-8389,1831.95,On-Time
SHP-00114,2024-09-26,2024-09-28,2024-09-27,Dallas,Detroit,740,CAR-007,Truck,482.61,0.888,Standard,CUST-7290,911.48,Delayed
SHP-00115,2024-07-29,2024-07-31,2024-07-31,Seattle,Philadelphia,1329,CAR-001,Truck,479.1,0.48,Standard,CUST-7809,1403.01,On-Time
SHP-00116,2024-12-28,2024-12-30,2024-12-29,Phoenix,Miami,1212,CAR-001,Truck,1098.19,2.251,Express,CUST-4613,2774.38,Delayed
SHP-00117,2023-10-27,2023-10-30,2023-10-30,Miami,Los Angeles,1907,CAR-002,Van,487.32,1.109,Standard,CUST-9115,1835.07,On-Time
SHP-00118,2024-07-16,2024-07-19,2024-07-19,Denver,Detroit,1670,CAR-007,Truck,833.46,2.141,Standard,CUST-7010,2619.98,On-Time
SHP-00119,2024-07-09,2024-07-12,2024-07-11,Miami,Boston,1959,CAR-004,Van,162.82,0.377,Express,CUST-7965,2038.09,Delayed
SHP-00120,2023-04-15,2023-04-16,2023-04-16,Denver,Cleveland,353,CAR-008,Truck,425.96,0.921,Express,CUST-1528,915.42,On-Time
SHP-00121,2024-04-05,2024-04-07,2024-04-06,Denver,Chicago,903,CAR-007,Semi-Truck,514.3,0.637,Standard,CUST-4882,1165.82,Delayed
SHP-00122,2023-08-03,2023-08-06,2023-08-06,Houston,Seattle,2123,CAR-007,Truck,193.53,0.325,Express,CUST-8015,2885.12,On-Time
SHP-00123,2023-06-19,2023-06-22,2023-06-22,Los Angeles,Washington DC,2090,CAR-002,Semi-Truck,1292.3,2.708,Express,CUST-6747,4561.55,On-Time
SHP-00124,2024-06-29,2024-07-01,2024-07-01,Houston,Atlanta,1070,CAR-005,Truck,138.34,0.296,Standard,CUST-5794,988.65,On-Time
SHP-00125,2023-10-24,2023-10-28,2023-10-26,Denver,Atlanta,1443,CAR-001,Cargo Plane,443.1,0.761,Standard,CUST-2560,1547.87,Delayed
SHP-00126,2023-05-19,2023-05-20,2023-05-20,Philadelphia,Cleveland,537,CAR-003,Semi-Truck,427.68,0.471,Overnight,CUST-3078,1505.8,On-Time
SHP-00127,2024-12-19,2024-12-20,2024-12-20,Atlanta,Nashville,848,CAR-001,Van,273.64,0.681,Express,CUST-5055,1231.98,On-Time
SHP-00128,2024-11-23,2024-11-27,2024-11-27,New York,Miami,2398,CAR-003,Van,1002.78,1.576,Standard,CUST-7786,4650.13,On-Time
SHP-00129,2024-01-20,2024-01-23,2024-01-21,New York,Philadelphia,462,CAR-004,Truck,195.97,0.291,Standard,CUST-7046,301.9,Delayed
SHP-00130,2024-04-10,2024-04-16,2024-04-11,Dallas,Milwaukee,1383,CAR-004,Truck,294.38,0.509,Overnight,CUST-6869,2125.89,Delayed
SHP-00131,2023-03-06,2023-03-08,2023-03-07,Nashville,Boston,1347,CAR-008,Truck,911.21,2.25,Express,CUST-4470,4350.37,Delayed
SHP-00132,2024-05-21,2024-05-22,2024-05-22,Atlanta,Houston,909,CAR-004,Semi-Truck,366.61,0.79,Standard,CUST-8951,773.12,On-Time
SHP-00133,2023-12-18,2023-12-23,2023-12-20,Los Angeles,Milwaukee,1546,CAR-002,Semi-Truck,1194.62,1.361,Express,CUST-8230,3097.13,Delayed
SHP-00134,2024-04-12,2024-04-13,2024-04-13,Atlanta,New York,517,CAR-002,Cargo Plane,106.13,0.144,Standard,CUST-3161,361.92,On-Time
SHP-00135,2024-10-27,2024-10-29,2024-10-29,Baltimore,San Francisco,1015,CAR-005,Semi-Truck,257.03,0.688,Standard,CUST-2529,1144.49,On-Time
SHP-00136,2024-11-01,2024-11-03,2024-11-03,Detroit,Boston,1467,CAR-002,Van,34.28,0.045,Standard,CUST-1848,949.23,On-Time
SHP-00137,2024-02-10,2024-02-11,2024-02-11,Philadelphia,Atlanta,360,CAR-004,Semi-Truck,344.38,0.996,Express,CUST-2494,399.07,On-Time
SHP-00138,2024-12-21,2024-12-23,2024-12-22,Seattle,Houston,973,CAR-002,Van,445.18,0.881,Standard,CUST-8291,871.89,Delayed
SHP-00139,2023-01-10,2023-01-13,2023-01-11,Philadelphia,Phoenix,600,CAR-008,Truck,102.56,0.304,Standard,CUST-3165,861.09,Delayed
SHP-00140,2024-05-04,2024-05-07,2024-05-07,Dallas,Boston,1563,CAR-003,Truck,363.83,0.463,Standard,CUST-2678,1932.69,On-Time
SHP-00141,2023-04-16,2023-04-18,2023-04-17,Minneapolis,San Francisco,361,CAR-008,Semi-Truck,379.86,0.627,Standard,CUST-3340,637.63,Delayed
SHP-00142,2023-03-12,2023-03-13,2023-03-13,Nashville,Minneapolis,322,CAR-002,Van,90.95,0.203,Standard,CUST-4490,206.71,On-Time
SHP-00143,2024-10-05,2024-10-06,2024-10-06,Nashville,Cleveland,966,CAR-008,Semi-Truck,167.89,0.436,Express,CUST-8248,1742.96,On-Time
SHP-00144,2023-08-11,2023-08-13,2023-08-13,Miami,New York,1054,CAR-008,Van,251.76,0.605,Standard,CUST-7291,1644.71,On-Time
SHP-00145,2023-12-26,2023-12-29,2023-12-27,Chicago,Denver,659,CAR-004,Truck,574.75,1.482,Overnight,CUST-5668,1332.42,Delayed
SHP-00146,2024-12-08,2024-12-11,2024-12-11,Atlanta,Dallas,1679,CAR-007,Semi-Truck,219.2,0.603,Standard,CUST-9348,1670.93,On-Time
SHP-00147,2023-07-13,2023-07-15,2023-07-14,Baltimore,New York,425,CAR-001,Van,156.17,0.375,Express,CUST-9108,486.29,Delayed
SHP-00148,2024-01-31,2024-02-01,2024-02-01,Detroit,Nashville,762,CAR-005,Truck,265.48,0.456,Standard,CUST-9655,834.72,On-Time
SHP-00149,2023-01-13,2023-01-16,2023-01-14,Boston,Dallas,603,CAR-005,Semi-Truck,109.97,0.224,Overnight,CUST-3830,1291.92,Delayed
SHP-00150,2024-04-27,2024-04-29,2024-04-28,Miami,Chicago,763,CAR-006,Semi-Truck,73.52,0.22,Overnight,CUST-1990,1095.4,Delayed
SHP-00151,2024-02-12,2024-02-14,2024-02-14,Baltimore,Philadelphia,1159,CAR-004,Truck,433.7,0.824,Standard,CUST-7590,919.55,On-Time
SHP-00152,2023-03-26,2023-03-28,2023-03-27,Houston,Baltimore,1063,CAR-004,Truck,236.1,0.334,Express,CUST-9377,1173.31,Delayed
SHP-00153,2023-07-28,2023-07-29,2023-07-29,Los Angeles,Philadelphia,1905,CAR-004,Van,1335.6,1.724,Overnight,CUST-2083,5402.72,On-Time
SHP-00154,2023-11-14,2023-11-17,2023-11-16,Philadelphia,Los Angeles,1615,CAR-006,Semi-Truck,784.11,2.312,Express,CUST-8118,2566.67,Delayed
SHP-00155,2023-04-29,2023-05-01,2023-05-01,Seattle,Milwaukee,1326,CAR-004,Truck,272.96,0.316,Standard,CUST-3877,1044.83,On-Time
SHP-00156,2023-05-03,2023-05-07,2023-05-05,Miami,Washington DC,1276,CAR-008,Van,322.12,0.86,Standard,CUST-6680,1869.75,Delayed
SHP-00157,2024-06-19,2024-06-21,2024-06-21,Detroit,Boston,1467,CAR-006,Semi-Truck,477.98,0.742,Standard,CUST-5403,1511.95,On-Time
SHP-00158,2023-05-01,2023-05-02,2023-05-02,Seattle,Atlanta,1191,CAR-001,Van,527.56,0.863,Express,CUST-5456,1844.68,On-Time
SHP-00159,2024-06-20,2024-06-23,2024-06-23,Nashville,San Francisco,1569,CAR-003,Semi-Truck,589.87,0.716,Standard,CUST-2262,2588.85,On-Time
SHP-00160,2024-05-23,2024-05-26,2024-05-26,Denver,Seattle,1835,CAR-007,Truck,532.06,1.32,Standard,CUST-7024,2425.65,On-Time
SHP-00161,2023-06-11,2023-06-12,2023-06-12,San Francisco,Minneapolis,219,CAR-003,Van,200.79,0.205,Standard,CUST-2889,239.74,On-Time
SHP-00162,2023-08-22,2023-08-24,2023-08-24,Atlanta,Dallas,1679,CAR-008,Van,928.01,2.0,Express,CUST-1201,5963.68,On-Time
SHP-00163,2023-09-08,2023-09-12,2023-09-12,Houston,Seattle,2123,CAR-008,Truck,1190.61,1.675,Standard,CUST-3932,5781.39,On-Time
SHP-00164,2023-02-06,2023-02-10,2023-02-10,Miami,Cleveland,2360,CAR-007,Semi-Truck,27.82,0.039,Standard,CUST-6272,1907.52,On-Time
SHP-00165,2023-09-12,2023-09-15,2023-09-15,Nashville,Phoenix,1734,CAR-002,Semi-Truck,238.4,0.391,Standard,CUST-7108,1507.33,On-Time
SHP-00166,2023-05-03,2023-05-05,2023-05-04,Houston,San Francisco,295,CAR-005,Semi-Truck,676.39,1.699,Standard,CUST-7568,426.33,Delayed
SHP-00167,2023-03-12,2023-03-13,2023-03-13,Phoenix,Baltimore,1319,CAR-004,Semi-Truck,80.52,0.193,Express,CUST-2415,1218.46,On-Time
SHP-00168,2024-07-20,2024-07-24,2024-07-24,Nashville,Seattle,2186,CAR-006,Truck,543.46,1.467,Standard,CUST-4974,2375.95,On-Time
SHP-00169,2024-04-20,2024-04-23,2024-04-23,Cleveland,Minneapolis,1722,CAR-001,Cargo Plane,320.15,0.846,Standard,CUST-4201,1863.4,On-Time
